Country,Variable,Measure,Year,Value
Albania,Maritime port infrastructure investment,National currency,2005,1332000000.0
Albania,Maritime port infrastructure investment,National currency,2006,737000000.0
Albania,Maritime port infrastructure investment,National currency,2007,127000000.0
Albania,Maritime port infrastructure investment,National currency,2008,386000000.0
Albania,Maritime port infrastructure investment,National currency,2009,376000000.0
Albania,Maritime port infrastructure investment,National currency,2010,541000000.0
Albania,Maritime port infrastructure investment,National currency,2011,1393000000.0
Albania,Maritime port infrastructure investment,National currency,2012,1225000000.0
Albania,Maritime port infrastructure investment,National currency,2013,154000000.0
Albania,Maritime port infrastructure investment,National currency,2014,304000000.0
Albania,Maritime port infrastructure investment,National currency,2015,816380000.0
Albania,Maritime port infrastructure investment,National currency,2016,355200000.0
Albania,Maritime port infrastructure investment,National currency,2017,0.0
Albania,Maritime port infrastructure investment,National currency,2018,19200000.0
Albania,Maritime port infrastructure investment,National currency,2019,124000000.0
Albania,Maritime port infrastructure investment,National currency,2020,36718000.0
Albania,Maritime port infrastructure investment,National currency,2021,47000000.0
Albania,Airport infrastructure investment,National currency,2000,181000000.0
Albania,Airport infrastructure investment,National currency,2001,290000000.0
Albania,Airport infrastructure investment,National currency,2003,765000000.0
Albania,Airport infrastructure investment,National currency,2004,814000000.0
Albania,Airport infrastructure investment,National currency,2005,814000000.0
Albania,Airport infrastructure investment,National currency,2006,169000000.0
Albania,Airport infrastructure investment,National currency,2007,220000000.0
Albania,Airport infrastructure investment,National currency,2008,15000000.0
Albania,Airport infrastructure investment,National currency,2009,0.0
Albania,Airport infrastructure investment,National currency,2010,0.0
Albania,Airport infrastructure investment,National currency,2011,0.0
Albania,Airport infrastructure investment,National currency,2012,0.0
Albania,Airport infrastructure investment,National currency,2013,0.0
Albania,Airport infrastructure investment,National currency,2014,0.0
Albania,Airport infrastructure investment,National currency,2015,0.0
Albania,Airport infrastructure investment,National currency,2016,0.0
Albania,Airport infrastructure investment,National currency,2017,0.0
Albania,Airport infrastructure investment,National currency,2018,0.0
Albania,Airport infrastructure investment,National currency,2019,0.0
Albania,Airport infrastructure investment,National currency,2020,34636000.0
Albania,Airport infrastructure investment,National currency,2021,93327000.0
Albania,Total inland transport infrastructure investment,Euro,2000,110421156.94103
Albania,Total inland transport infrastructure investment,Euro,2001,109000161.13
Albania,Total inland transport infrastructure investment,Euro,2002,70095912.369151
Albania,Total inland transport infrastructure investment,Euro,2003,61524588.017977
Albania,Total inland transport infrastructure investment,Euro,2004,93169404.470816
Albania,Total inland transport infrastructure investment,Euro,2005,70617602.061358
Albania,Total inland transport infrastructure investment,Euro,2006,176588442.90185
Albania,Total inland transport infrastructure investment,Euro,2007,253972744.46726
Albania,Total inland transport infrastructure investment,Euro,2008,501577842.11152
Albania,Total inland transport infrastructure investment,Euro,2009,487110093.96493
Albania,Total inland transport infrastructure investment,Euro,2010,242449465.1818
Albania,Total inland transport infrastructure investment,Euro,2011,211073670.52666
Albania,Total inland transport infrastructure investment,Euro,2012,181381937.75663
Albania,Total inland transport infrastructure investment,Euro,2013,234855223.69336
Albania,Total inland transport infrastructure investment,Euro,2014,193433092.62866
Albania,Total inland transport infrastructure investment,Euro,2015,179805596.61297
Albania,Total inland transport infrastructure investment,Euro,2016,89140343.978913
Albania,Total inland transport infrastructure investment,Euro,2017,159039587.18078
Albania,Total inland transport infrastructure investment,Euro,2018,169584096.69421
Albania,Total inland transport infrastructure investment,Euro,2019,176958860.71318
Albania,Total inland transport infrastructure investment,Euro,2020,224794143.96516
Albania,Total inland transport infrastructure investment,Euro,2021,271188737.98806
Albania,Rail infrastructure investment,Euro,2000,2051260.3939325
Albania,Rail infrastructure investment,Euro,2001,1401130.4008712
Albania,Rail infrastructure investment,Euro,2002,5600115.4787645
Albania,Rail infrastructure investment,Euro,2003,705423.76332669
Albania,Rail infrastructure investment,Euro,2004,2059814.5070464
Albania,Rail infrastructure investment,Euro,2005,2343183.8312263
Albania,Rail infrastructure investment,Euro,2006,1243065.6436155
Albania,Rail infrastructure investment,Euro,2007,581968.67068656
Albania,Rail infrastructure investment,Euro,2008,1376640.7684425
Albania,Rail infrastructure investment,Euro,2009,90816.623074688
Albania,Rail infrastructure investment,Euro,2010,297787.00675395
Albania,Rail infrastructure investment,Euro,2011,869495.80646449
Albania,Rail infrastructure investment,Euro,2012,460305.48461177
Albania,Rail infrastructure investment,Euro,2013,662869.06839098
Albania,Rail infrastructure investment,Euro,2014,693103.68974107
Albania,Rail infrastructure investment,Euro,2015,549354.1956703
Albania,Rail infrastructure investment,Euro,2016,0.0
Albania,Rail infrastructure investment,Euro,2017,0.0
Albania,Rail infrastructure investment,Euro,2018,304952.37960849
Albania,Rail infrastructure investment,Euro,2019,1079749.7524032
Albania,Rail infrastructure investment,Euro,2020,1502127.2059465
Albania,Rail infrastructure investment,Euro,2021,5462477.5152504
Albania,Road infrastructure investment,Euro,2000,108347272.35157
Albania,Road infrastructure investment,Euro,2001,107567894.49799
Albania,Road infrastructure investment,Euro,2002,64458009.336549
Albania,Road infrastructure investment,Euro,2003,60782802.204995
Albania,Road infrastructure investment,Euro,2004,91078261.986476
Albania,Road infrastructure investment,Euro,2005,68193896.448989
Albania,Road infrastructure investment,Euro,2006,175223508.07749
Albania,Road infrastructure investment,Euro,2007,253261449.42531
Albania,Road infrastructure investment,Euro,2008,499989410.45563
Albania,Road infrastructure investment,Euro,2009,486769531.6284
Albania,Road infrastructure investment,Euro,2010,241919259.04782
Albania,Road infrastructure investment,Euro,2011,210147158.60174
Albania,Road infrastructure investment,Euro,2012,180820940.44726
Albania,Road infrastructure investment,Euro,2013,234163844.12741
Albania,Road infrastructure investment,Euro,2014,192718552.74233
Albania,Road infrastructure investment,Euro,2015,179236200.83101
Albania,Road infrastructure investment,Euro,2016,89140343.978913
Albania,Road infrastructure investment,Euro,2017,159032879.76283
Albania,Road infrastructure investment,Euro,2018,169252490.37911
Albania,Road infrastructure investment,Euro,2019,175879110.96077
Albania,Road infrastructure investment,Euro,2020,223292016.75922
Albania,Road infrastructure investment,Euro,2021,265726260.47281
Albania,Inland waterway infrastucture investment,Euro,2000,22624.195521314
Albania,Inland waterway infrastucture investment,Euro,2001,31136.231130471
Albania,Inland waterway infrastucture investment,Euro,2002,37787.553837817
Albania,Inland waterway infrastucture investment,Euro,2003,36362.049656015
Albania,Inland waterway infrastucture investment,Euro,2004,31327.977293482
Albania,Inland waterway infrastucture investment,Euro,2005,80521.781141799
Albania,Inland waterway infrastucture investment,Euro,2006,121869.18074662
Albania,Inland waterway infrastucture investment,Euro,2007,129326.37126368
Albania,Inland waterway infrastucture investment,Euro,2008,211790.88745269
Albania,Inland waterway infrastucture investment,Euro,2009,249745.71345539
Albania,Inland waterway infrastucture investment,Euro,2010,232419.1272226
Albania,Inland waterway infrastucture investment,Euro,2011,57016.118456688
Albania,Inland waterway infrastucture investment,Euro,2012,100691.82475883
Albania,Inland waterway infrastucture investment,Euro,2013,28510.497565204
Albania,Inland waterway infrastucture investment,Euro,2014,21436.19658993
Albania,Inland waterway infrastucture investment,Euro,2015,20041.586291555
Albania,Inland waterway infrastucture investment,Euro,2016,0.0
Albania,Inland waterway infrastucture investment,Euro,2017,6707.4179570994
Albania,Inland waterway infrastucture investment,Euro,2018,26653.935492772
Albania,Inland waterway infrastucture investment,Euro,2019,0.0
Albania,Inland waterway infrastucture investment,Euro,2020,0.0
Albania,Inland waterway infrastucture investment,Euro,2021,0.0
Albania,Maritime port infrastructure investment,Euro,2000,5739004.2639067
Albania,Maritime port infrastructure investment,Euro,2001,8227749.0762269
Albania,Maritime port infrastructure investment,Euro,2002,13082051.138652
Albania,Maritime port infrastructure investment,Euro,2003,7548761.5085887
Albania,Maritime port infrastructure investment,Euro,2004,7933810.2495743
Albania,Maritime port infrastructure investment,Euro,2005,10725501.248088
Albania,Maritime port infrastructure investment,Euro,2006,5987839.0806839
Albania,Maritime port infrastructure investment,Euro,2007,1026528.0719055
Albania,Maritime port infrastructure investment,Euro,2008,3144280.0983361
Albania,Maritime port infrastructure investment,Euro,2009,2845587.5230069
Albania,Maritime port infrastructure investment,Euro,2010,3929335.8696071
Albania,Maritime port infrastructure investment,Euro,2011,9927931.6262707
Albania,Maritime port infrastructure investment,Euro,2012,8810534.6663972
Albania,Maritime port infrastructure investment,Euro,2013,1097654.1562603
Albania,Maritime port infrastructure investment,Euro,2014,2172201.2544462
Albania,Maritime port infrastructure investment,Euro,2015,5843410.7916784
Albania,Maritime port infrastructure investment,Euro,2016,2586395.2116737
Albania,Maritime port infrastructure investment,Euro,2017,0.0
Albania,Maritime port infrastructure investment,Euro,2018,150516.34160624
Albania,Maritime port infrastructure investment,Euro,2019,1008275.9944122
Albania,Maritime port infrastructure investment,Euro,2020,296532.83197819
Albania,Maritime port infrastructure investment,Euro,2021,383761.49957664
Albania,Airport infrastructure investment,Euro,2000,1364993.129786
Albania,Airport infrastructure investment,Euro,2001,2257376.7569591
Albania,Airport infrastructure investment,Euro,2003,5563393.5973703
Albania,Airport infrastructure investment,Euro,2004,6375243.3792236
Albania,Airport infrastructure investment,Euro,2005,6554472.9849424
Albania,Airport infrastructure investment,Euro,2006,1373059.4364119
Albania,Airport infrastructure investment,Euro,2007,1778237.6048756
Albania,Airport infrastructure investment,Euro,2008,122187.05045348
Albania,Airport infrastructure investment,Euro,2009,0.0
Albania,Airport infrastructure investment,Euro,2010,0.0
Albania,Airport infrastructure investment,Euro,2011,0.0
Albania,Airport infrastructure investment,Euro,2012,0.0
Albania,Airport infrastructure investment,Euro,2013,0.0
Albania,Airport infrastructure investment,Euro,2014,0.0
Albania,Airport infrastructure investment,Euro,2015,0.0
Albania,Airport infrastructure investment,Euro,2016,0.0
Albania,Airport infrastructure investment,Euro,2017,0.0
Albania,Airport infrastructure investment,Euro,2018,0.0
Albania,Airport infrastructure investment,Euro,2019,0.0
Albania,Airport infrastructure investment,Euro,2020,279718.69841485
Albania,Airport infrastructure investment,Euro,2021,762027.86108487
Albania,Total inland transport infrastructure investment,Constant Euro,2000,100869279.00486
Albania,Total inland transport infrastructure investment,Constant Euro,2001,90705343.516692
Albania,Total inland transport infrastructure investment,Constant Euro,2002,76926714.473668
Albania,Total inland transport infrastructure investment,Constant Euro,2003,68422849.082548
Albania,Total inland transport infrastructure investment,Constant Euro,2004,93261895.839594
Albania,Total inland transport infrastructure investment,Constant Euro,2005,67862823.079899
Albania,Total inland transport infrastructure investment,Constant Euro,2006,166388035.9232
Albania,Total inland transport infrastructure investment,Constant Euro,2007,234762407.86868
Albania,Total inland transport infrastructure investment,Constant Euro,2008,453899027.47628
Albania,Total inland transport infrastructure investment,Constant Euro,2009,474458091.83082
Albania,Total inland transport infrastructure investment,Constant Euro,2010,245309545.32062
Albania,Total inland transport infrastructure investment,Constant Euro,2011,216529848.09963
Albania,Total inland transport infrastructure investment,Constant Euro,2012,183259160.51005
Albania,Total inland transport infrastructure investment,Constant Euro,2013,237270145.26686
Albania,Total inland transport infrastructure investment,Constant Euro,2014,194349399.08966
Albania,Total inland transport infrastructure investment,Constant Euro,2015,179805596.61297
Albania,Total inland transport infrastructure investment,Constant Euro,2016,87624678.350434
Albania,Total inland transport infrastructure investment,Constant Euro,2017,151683021.45806
Albania,Total inland transport infrastructure investment,Constant Euro,2018,152850658.27627
Albania,Total inland transport infrastructure investment,Constant Euro,2019,153469681.11541
Albania,Total inland transport infrastructure investment,Constant Euro,2020,195904464.96187
Albania,Total inland transport infrastructure investment,Constant Euro,2021,229468148.61466
Albania,Rail infrastructure investment,Constant Euro,2000,1873818.0500835
Albania,Rail infrastructure investment,Constant Euro,2001,1165961.7105623
Albania,Rail infrastructure investment,Constant Euro,2002,6145843.1725055
