Country,Variable,Measure,Year,Value
Ireland,Road infrastructure investment,Constant Euro,2013,605388496.46821
Ireland,Road infrastructure investment,Constant Euro,2014,643736263.73626
Ireland,Road infrastructure investment,Constant Euro,2015,612000000.0
Ireland,Road infrastructure investment,Constant Euro,2016,618905472.63682
Ireland,Road infrastructure investment,Constant Euro,2017,537328094.30255
Ireland,Road infrastructure investment,Constant Euro,2018,656872037.91469
Ireland,Road infrastructure investment,Constant Euro,2019,776437847.86642
Ireland,Road infrastructure investment: Of which motorway,Constant Euro,2018,16113744.075829
Ireland,Road infrastructure investment: Of which motorway,Constant Euro,2019,15769944.341373
Ireland,Maritime port infrastructure investment,Constant Euro,2000,82901105.738911
Ireland,Maritime port infrastructure investment,Constant Euro,2001,49874367.33906
Ireland,Maritime port infrastructure investment,Constant Euro,2002,90048935.896257
Ireland,Maritime port infrastructure investment,Constant Euro,2003,76141576.808453
Ireland,Maritime port infrastructure investment,Constant Euro,2004,51589943.093637
Ireland,Maritime port infrastructure investment,Constant Euro,2005,35129820.0
Ireland,Maritime port infrastructure investment,Constant Euro,2006,36680187.227291
Ireland,Maritime port infrastructure investment,Constant Euro,2007,31044760.672704
Ireland,Maritime port infrastructure investment,Constant Euro,2008,31145758.404137
Ireland,Maritime port infrastructure investment,Constant Euro,2009,12206124.61665
Ireland,Maritime port infrastructure investment,Constant Euro,2010,6060000.0
Ireland,Maritime port infrastructure investment,Constant Euro,2011,16574358.974359
Ireland,Maritime port infrastructure investment,Constant Euro,2012,11290650.406504
Ireland,Maritime port infrastructure investment,Constant Euro,2013,11210898.082745
Ireland,Maritime port infrastructure investment,Constant Euro,2014,11098901.098901
Ireland,Maritime port infrastructure investment,Constant Euro,2015,11000000.0
Ireland,Maritime port infrastructure investment,Constant Euro,2016,10945273.631841
Ireland,Maritime port infrastructure investment,Constant Euro,2017,10805500.982318
Ireland,Maritime port infrastructure investment,Constant Euro,2019,10204081.632653
Ireland,Rail infrastructure capital value,Constant Euro,2020,1107339449.5413
Ireland,Rail infrastructure capital value,Constant Euro,2019,1102180380.2134
Ireland,Rail infrastructure capital value,Constant Euro,2018,1142685702.6635
Ireland,Airport infrastructure investment,Constant Euro,2016,123383084.57711
Ireland,Airport infrastructure investment,Constant Euro,2017,174852652.25933
Ireland,Airport infrastructure investment,Constant Euro,2018,124170616.11374
Ireland,Airport infrastructure investment,Constant Euro,2019,230055658.62709
Ireland,Airport infrastructure investment,Constant Euro,2020,261467889.90826
Ireland,Road infrastructure investment,Constant Euro,2010,1428140000.0
Ireland,Road infrastructure investment,Constant Euro,2009,1799386203.9046
Ireland,Road infrastructure investment,Constant Euro,2008,2078728198.0052
Ireland,Road infrastructure investment,Constant Euro,2007,2267302354.4631
Ireland,Road infrastructure investment,Constant Euro,2006,2178155823.8794
Ireland,Road infrastructure investment,Constant Euro,2005,1883411640.0
Ireland,Road infrastructure investment,Constant Euro,2004,1831442979.8241
Ireland,Road infrastructure investment,Constant Euro,2003,1861784361.9615
Ireland,Road infrastructure investment,Constant Euro,2002,1788471921.2729
Ireland,Road infrastructure investment,Constant Euro,2001,1611729555.0623
Ireland,Road infrastructure investment,Constant Euro,2000,1276391162.4974
Ireland,Rail infrastructure investment,Constant Euro,2020,92660550.458716
Ireland,Rail infrastructure investment,Constant Euro,2019,66687379.925788
Ireland,Rail infrastructure investment,Constant Euro,2018,41337030.227488
Ireland,Airport infrastructure maintenance,Constant Euro,2020,917431.1927
Ireland,Airport infrastructure maintenance,Constant Euro,2011,30041025.64
Ireland,Airport infrastructure maintenance,Constant Euro,2010,34340000.0
Ireland,Airport infrastructure maintenance,Constant Euro,2009,33566842.7
Ireland,Airport infrastructure maintenance,Constant Euro,2008,37173969.71
Ireland,Airport infrastructure maintenance,Constant Euro,2007,38288538.16
Ireland,Airport infrastructure maintenance,Constant Euro,2006,37759016.26
Ireland,Airport infrastructure maintenance,Constant Euro,2005,37396260.0
Ireland,Airport infrastructure investment,Constant Euro,2015,106000000.0
Ireland,Airport infrastructure investment,Constant Euro,2014,59530469.53047
Ireland,Airport infrastructure investment,Constant Euro,2013,54016145.30777
Ireland,Airport infrastructure investment,Constant Euro,2012,34898373.98374
Ireland,Rail infrastructure capital value,Constant Euro,2017,1238291431.11
Ireland,Rail infrastructure capital value,Constant Euro,2016,1288984207.8308
Ireland,Rail infrastructure capital value,Constant Euro,2015,1369229000.0
Ireland,Rail infrastructure capital value,Constant Euro,2014,831028201.7982
Ireland,Rail infrastructure capital value,Constant Euro,2013,856250979.83996
Ireland,Rail infrastructure capital value,Constant Euro,2012,844874237.80488
Ireland,Rail infrastructure capital value,Constant Euro,2011,831859236.21538
Ireland,Rail infrastructure capital value,Constant Euro,2010,712429868.07
Ireland,Rail infrastructure capital value,Constant Euro,2009,648599373.61669
Ireland,Rail infrastructure capital value,Constant Euro,2008,530650495.50969
Ireland,Rail infrastructure capital value,Constant Euro,2007,1353775340.6215
Ireland,Rail infrastructure capital value,Constant Euro,2006,1232797449.0921
Ireland,Rail infrastructure capital value,Constant Euro,2005,1170563738.6527
Ireland,Airport infrastructure maintenance,Constant Euro,2003,36842698.46
Ireland,Rail infrastructure capital value,Constant Euro,2004,1065958322.7169
Ireland,Rail infrastructure capital value,Constant Euro,2002,792915907.10125
Ireland,Rail infrastructure capital value,Constant Euro,2001,694086906.82621
Ireland,Rail infrastructure capital value,Constant Euro,2000,695178451.14271
Ireland,Rail infrastructure investment,Constant Euro,2016,34658199.402985
Ireland,Airport infrastructure investment,Constant Euro,2004,93799896.533885
Ireland,Airport infrastructure investment,Constant Euro,2005,118988100.0
Ireland,Airport infrastructure investment,Constant Euro,2006,158587868.30623
Ireland,Airport infrastructure investment,Constant Euro,2007,280437671.41009
Ireland,Airport infrastructure investment,Constant Euro,2008,404894859.25379
Ireland,Airport infrastructure investment,Constant Euro,2009,517743119.15626
Ireland,Road infrastructure investment,Constant Euro,2012,909410569.1057
Ireland,Airport infrastructure investment,Constant Euro,2010,245430000.0
Ireland,Airport infrastructure investment,Constant Euro,2011,85979487.179487
Ireland,Rail infrastructure capital value,Constant Euro,2003,953595556.50303
Ireland,Rail infrastructure investment,Constant Euro,2017,67593406.070727
