Country,Variable,Measure,Year,Value
Austria,Inland waterway infrastucture maintenance,Constant Euro,2002,21647573.63
Austria,Inland waterway infrastucture maintenance,Constant Euro,2003,21368173.53
Austria,Inland waterway infrastucture maintenance,Constant Euro,2011,11924686.42
Austria,Inland waterway infrastucture maintenance,Constant Euro,2012,12746897.5
Austria,Inland waterway infrastucture maintenance,Constant Euro,2013,17769547.24
Austria,Inland waterway infrastucture maintenance,Constant Euro,2014,19437185.95
Austria,Inland waterway infrastucture maintenance,Constant Euro,2015,14000000.0
Austria,Inland waterway infrastucture maintenance,Constant Euro,2016,11782229.67
Austria,Inland waterway infrastucture maintenance,Constant Euro,2017,12637012.67
Austria,Inland waterway infrastucture maintenance,Constant Euro,2018,11454395.6
Austria,Inland waterway infrastucture maintenance,Constant Euro,2019,12313925.87
Austria,Inland waterway infrastucture maintenance,Constant Euro,2020,12281684.72
Austria,Inland waterway infrastucture maintenance,Constant Euro,2021,12586994.31
Austria,Road infrastructure maintenance,Constant Euro,2000,667030806.55606
Austria,Road infrastructure maintenance,Constant Euro,2001,669746764.4043
Austria,Road infrastructure maintenance,Constant Euro,2002,374375685.17145
Austria,Road infrastructure maintenance,Constant Euro,2003,487697137.00097
Austria,Road infrastructure maintenance,Constant Euro,2004,565839713.72437
Austria,Road infrastructure maintenance,Constant Euro,2005,533762062.92291
Austria,Road infrastructure maintenance,Constant Euro,2006,585340268.41089
Austria,Road infrastructure maintenance,Constant Euro,2007,562210044.25096
Austria,Road infrastructure maintenance,Constant Euro,2008,529864776.54642
Austria,Road infrastructure maintenance,Constant Euro,2009,574605059.04618
Austria,Road infrastructure maintenance,Constant Euro,2010,617101181.48013
Austria,Road infrastructure maintenance,Constant Euro,2011,535526826.4468
Austria,Road infrastructure maintenance,Constant Euro,2013,584304523.90817
Austria,Rail infrastructure maintenance,Constant Euro,2000,455629310.8
Austria,Road infrastructure maintenance: Of which motorway,Constant Euro,2003,487697137.0
Austria,Rail infrastructure investment,Constant Euro,2006,1760750827.6037
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2009,740527837.72425
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2010,430535708.00939
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2011,328470907.71939
Austria,Rail infrastructure investment,Constant Euro,2021,2022460264.9812
Austria,Rail infrastructure investment,Constant Euro,2020,1834920358.801
Austria,Rail infrastructure investment,Constant Euro,2019,1632770170.2402
Austria,Rail infrastructure investment,Constant Euro,2018,1605524449.4639
Austria,Rail infrastructure investment,Constant Euro,2017,1508664896.8936
Austria,Rail infrastructure investment,Constant Euro,2016,1495361316.0725
Austria,Rail infrastructure investment,Constant Euro,2015,1549000000.0
Austria,Rail infrastructure investment,Constant Euro,2014,1603056335.7088
Austria,Rail infrastructure investment,Constant Euro,2013,1722600814.6702
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2008,992787322.22295
Austria,Rail infrastructure investment,Constant Euro,2012,1793063582.1331
Austria,Rail infrastructure investment,Constant Euro,2010,2137223412.0671
Austria,Rail infrastructure investment,Constant Euro,2009,2296193084.7931
Austria,Rail infrastructure investment,Constant Euro,2008,1909555500.9157
Austria,Rail infrastructure investment,Constant Euro,2007,1741000239.913
Austria,Rail infrastructure investment,Constant Euro,2005,1602491069.2719
Austria,Rail infrastructure investment,Constant Euro,2004,1649336283.4542
Austria,Rail infrastructure investment,Constant Euro,2003,1439209334.7065
Austria,Rail infrastructure investment,Constant Euro,2002,1516603540.9497
Austria,Rail infrastructure investment,Constant Euro,2001,1379420739.7635
Austria,Rail infrastructure investment,Constant Euro,2000,1574350269.8046
Austria,Total inland transport infrastructure investment,Constant Euro,2020,2340577482.6524
Austria,Total inland transport infrastructure investment,Constant Euro,2019,2165276964.3917
Austria,Rail infrastructure investment,Constant Euro,2011,2323145726.8735
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2007,1006425387.8567
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2006,948369485.38492
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2005,827752905.70663
Austria,Road infrastructure investment,Constant Euro,2000,623700065.18529
Austria,Road infrastructure investment,Constant Euro,2001,824303710.03606
Austria,Road infrastructure investment,Constant Euro,2002,677441716.02453
Austria,Road infrastructure investment,Constant Euro,2003,817018399.61502
Austria,Road infrastructure investment,Constant Euro,2004,889529680.96408
Austria,Road infrastructure investment,Constant Euro,2005,827752905.70663
Austria,Road infrastructure investment,Constant Euro,2006,948369485.38492
Austria,Road infrastructure investment,Constant Euro,2007,1006425387.8567
Austria,Road infrastructure investment,Constant Euro,2008,992787322.22295
Austria,Road infrastructure investment,Constant Euro,2009,740527837.72425
Austria,Road infrastructure investment,Constant Euro,2010,430535708.00939
Austria,Road infrastructure investment,Constant Euro,2011,328470907.71939
Austria,Road infrastructure investment,Constant Euro,2012,347352956.96536
Austria,Road infrastructure investment,Constant Euro,2013,379432096.92069
Austria,Road infrastructure investment,Constant Euro,2014,463423433.36063
Austria,Road infrastructure investment,Constant Euro,2015,455000000.0
Austria,Road infrastructure investment,Constant Euro,2016,435942497.92265
Austria,Road infrastructure investment,Constant Euro,2017,500620117.20375
Austria,Road infrastructure investment,Constant Euro,2018,441948763.43746
Austria,Road infrastructure investment,Constant Euro,2019,528276819.61715
Austria,Road infrastructure investment,Constant Euro,2020,502265912.39907
Austria,Road infrastructure investment,Constant Euro,2021,431554090.77172
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2000,379472250.18642
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2001,533221462.42958
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2002,677441716.02453
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2003,817018399.61502
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2004,889529680.96408
Austria,Total inland transport infrastructure investment,Constant Euro,2018,2050336811.8006
Austria,Total inland transport infrastructure investment,Constant Euro,2017,2012201247.7898
Austria,Total inland transport infrastructure investment,Constant Euro,2021,2457880361.1494
Austria,Total inland transport infrastructure investment,Constant Euro,2015,2006000000.0
Austria,Inland waterway infrastucture investment,Constant Euro,2007,4627243.1625594
Austria,Total inland transport infrastructure investment,Constant Euro,2016,1933267518.9408
Austria,Inland waterway infrastucture investment,Constant Euro,2009,5567878.4791297
Austria,Inland waterway infrastucture investment,Constant Euro,2010,12143314.841291
Austria,Inland waterway infrastucture investment,Constant Euro,2011,2168124.8034283
Austria,Inland waterway infrastucture investment,Constant Euro,2012,3186724.375829
Austria,Inland waterway infrastucture investment,Constant Euro,2013,11497942.33093
Austria,Inland waterway infrastucture investment,Constant Euro,2014,10230097.866681
Austria,Inland waterway infrastucture investment,Constant Euro,2015,2000000.0
Austria,Inland waterway infrastucture investment,Constant Euro,2016,1963704.9455975
Austria,Inland waterway infrastucture investment,Constant Euro,2017,2916233.692449
Austria,Inland waterway infrastucture investment,Constant Euro,2018,2863598.8991628
Austria,Inland waterway infrastucture investment,Constant Euro,2006,8277539.149245
Austria,Inland waterway infrastucture investment,Constant Euro,2019,4229974.5343011
Austria,Inland waterway infrastucture investment,Constant Euro,2021,3866005.3964966
Austria,Airport infrastructure investment,Constant Euro,2000,107670327.04251
Austria,Airport infrastructure investment,Constant Euro,2001,104325938.30144
Austria,Airport infrastructure investment,Constant Euro,2002,129885441.79418
Austria,Airport infrastructure investment,Constant Euro,2003,198598318.67565
Austria,Airport infrastructure investment,Constant Euro,2004,296509893.65469
Austria,Airport infrastructure investment,Constant Euro,2005,436166742.16274
Austria,Airport infrastructure investment,Constant Euro,2006,256603713.62659
Austria,Airport infrastructure investment,Constant Euro,2007,216323617.84965
Austria,Airport infrastructure investment,Constant Euro,2008,347191909.2574
Austria,Airport infrastructure investment,Constant Euro,2009,246100228.77753
Austria,Airport infrastructure investment,Constant Euro,2010,192085162.03496
Austria,Inland waterway infrastucture investment,Constant Euro,2020,3391211.4523295
Austria,Inland waterway infrastucture investment,Constant Euro,2005,8434163.5224839
Austria,Inland waterway infrastucture investment,Constant Euro,2008,3403842.2476215
Austria,Inland waterway infrastucture investment,Constant Euro,2003,3770854.1520693
Austria,Total inland transport infrastructure investment,Constant Euro,2014,2076709866.9362
Austria,Total inland transport infrastructure investment,Constant Euro,2013,2113530853.9219
Austria,Total inland transport infrastructure investment,Constant Euro,2012,2143603263.4743
Austria,Total inland transport infrastructure investment,Constant Euro,2011,2653784759.3963
Austria,Total inland transport infrastructure investment,Constant Euro,2010,2579902434.9178
Austria,Total inland transport infrastructure investment,Constant Euro,2009,3042288800.9964
Austria,Total inland transport infrastructure investment,Constant Euro,2008,2905746665.3863
Austria,Total inland transport infrastructure investment,Constant Euro,2007,2752052870.9322
Austria,Inland waterway infrastucture investment,Constant Euro,2004,14825494.682735
Austria,Total inland transport infrastructure investment,Constant Euro,2006,2717397852.1378
Austria,Total inland transport infrastructure investment,Constant Euro,2005,2438678138.501
Austria,Total inland transport infrastructure investment,Constant Euro,2003,2259998588.4735
Austria,Total inland transport infrastructure investment,Constant Euro,2004,2553691459.101
Austria,Total inland transport infrastructure investment,Constant Euro,2001,2203724449.7995
Austria,Inland waterway infrastucture investment,Constant Euro,2002,1273386.6842566
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2021,431554090.77172
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2020,502265912.39907
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2019,528276819.61715
Austria,Total inland transport infrastructure investment,Constant Euro,2002,2195318643.6584
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2017,500620117.20375
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2018,441948763.43746
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2015,455000000.0
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2014,463423433.36063
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2013,379432096.92069
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2012,347352956.96536
Austria,Road infrastructure investment: Of which motorway,Constant Euro,2016,435942497.92265
Belgium,Rail infrastructure maintenance,Constant Euro,2021,260757315.0
Belgium,Road infrastructure maintenance,Constant Euro,2001,81298898.36
Belgium,Road infrastructure maintenance,Constant Euro,2000,78224669.3
Belgium,Road infrastructure maintenance,Constant Euro,2002,87593751.38
Belgium,Road infrastructure maintenance,Constant Euro,2005,97377346.2
Belgium,Road infrastructure maintenance,Constant Euro,2004,96403435.01
Belgium,Road infrastructure maintenance,Constant Euro,2007,104422872.7
Belgium,Road infrastructure maintenance,Constant Euro,2006,120692418.9
Belgium,Rail infrastructure maintenance,Constant Euro,2020,284804367.6
Belgium,Road infrastructure maintenance,Constant Euro,2003,93632315.26
Belgium,Rail infrastructure maintenance,Constant Euro,2019,296022201.7
Belgium,Total inland transport infrastructure investment,Constant Euro,2005,1534335331.0343
Belgium,Rail infrastructure maintenance,Constant Euro,2017,308066083.6
Belgium,Rail infrastructure maintenance,Constant Euro,2016,306102362.2
Belgium,Rail infrastructure maintenance,Constant Euro,2015,313000000.0
Belgium,Rail infrastructure maintenance,Constant Euro,2014,338414634.1
Belgium,Rail infrastructure maintenance,Constant Euro,2013,338129496.4
Belgium,Rail infrastructure maintenance,Constant Euro,2012,320288362.5
Belgium,Rail infrastructure maintenance,Constant Euro,2011,327387198.3
Belgium,Rail infrastructure maintenance,Constant Euro,2010,321701199.6
Belgium,Road infrastructure maintenance,Constant Euro,2008,110071216.6
Belgium,Total inland transport infrastructure investment,Constant Euro,2000,1740830352.3688
Belgium,Total inland transport infrastructure investment,Constant Euro,2001,1515831072.7105
Belgium,Rail infrastructure maintenance,Constant Euro,2018,303317535.5
Belgium,Road infrastructure maintenance,Constant Euro,2009,121046892.0
Belgium,Inland waterway infrastucture maintenance,Constant Euro,2009,142857142.9
Belgium,Road infrastructure maintenance,Constant Euro,2011,163693599.2
Belgium,Road infrastructure maintenance,Constant Euro,2018,204739336.49289
Belgium,Road infrastructure maintenance,Constant Euro,2017,385614188.53256
Belgium,Road infrastructure maintenance,Constant Euro,2016,519685039.37008
Belgium,Road infrastructure maintenance,Constant Euro,2014,209349593.49593
Belgium,Road infrastructure maintenance,Constant Euro,2013,151079136.69065
Belgium,Road infrastructure maintenance,Constant Euro,2012,149330587.02369
Belgium,Road infrastructure maintenance,Constant Euro,2011,163693599.16055
Belgium,Road infrastructure maintenance,Constant Euro,2010,200654307.52454
Belgium,Road infrastructure maintenance,Constant Euro,2009,121046892.03926
Belgium,Road infrastructure maintenance,Constant Euro,2008,110071216.61721
Belgium,Road infrastructure maintenance,Constant Euro,2007,104422872.71068
Belgium,Road infrastructure maintenance,Constant Euro,2006,120692418.94834
